Sample	LA_Major_Clade	LA_Major_Clade2	sample_type	treatment	Animal	LA_AnimalID	liver_abscesses	LA_type	multiple_LAs	body_location	matrix	specific_body_loc	animal_body_location	abscess_location	trt_body_location	trt_specific_body_loc	trt_LA_specific_location	trt_LAtype_location	trt_LAtype_specifci_loc
RN06_SIsw		no LAs	sample	tylosin	RN06		no			small intestine	epithelium	small intestine epithelium	RN06 small intestine epithelium	no small intestine epithelium	tylosin small intestine	tylosin small intestine epithelium	tylosin no small intestine epithelium	tylosin  small intestine	tylosin  small intestine epithelium
RN07_Sifl		no LAs	sample	tylosin	RN07		no			small intestine	lumen	small intestine lumen	RN07 small intestine lumen	no small intestine lumen	tylosin small intestine	tylosin small intestine lumen	tylosin no small intestine lumen	tylosin  small intestine	tylosin  small intestine lumen
RN07_SIsw		no LAs	sample	tylosin	RN07		no			small intestine	epithelium	small intestine epithelium	RN07 small intestine epithelium	no small intestine epithelium	tylosin small intestine	tylosin small intestine epithelium	tylosin no small intestine epithelium	tylosin  small intestine	tylosin  small intestine epithelium
RN08_SIfl		no LAs	sample	tylosin	RN08		no			small intestine	lumen	small intestine lumen	RN08 small intestine lumen	no small intestine lumen	tylosin small intestine	tylosin small intestine lumen	tylosin no small intestine lumen	tylosin  small intestine	tylosin  small intestine lumen
RN08_SIsw		no LAs	sample	tylosin	RN08		no			small intestine	epithelium	small intestine epithelium	RN08 small intestine epithelium	no small intestine epithelium	tylosin small intestine	tylosin small intestine epithelium	tylosin no small intestine epithelium	tylosin  small intestine	tylosin  small intestine epithelium
RN09_SIfl		no LAs	sample	tylosin	RN09		no			small intestine	lumen	small intestine lumen	RN09 small intestine lumen	no small intestine lumen	tylosin small intestine	tylosin small intestine lumen	tylosin no small intestine lumen	tylosin  small intestine	tylosin  small intestine lumen
RN09_SIsw		no LAs	sample	tylosin	RN09		no			small intestine	epithelium	small intestine epithelium	RN09 small intestine epithelium	no small intestine epithelium	tylosin small intestine	tylosin small intestine epithelium	tylosin no small intestine epithelium	tylosin  small intestine	tylosin  small intestine epithelium
RN10_SIsw		no LAs	sample	tylosin	RN10		no			small intestine	epithelium	small intestine epithelium	RN10 small intestine epithelium	no small intestine epithelium	tylosin small intestine	tylosin small intestine epithelium	tylosin no small intestine epithelium	tylosin  small intestine	tylosin  small intestine epithelium
RY01_SIfl	Bact-1	Bact-1	sample	tylosin	RY01		yes	Bact		small intestine	lumen	small intestine lumen	RY01 small intestine lumen	yes small intestine lumen	tylosin small intestine	tylosin small intestine lumen	tylosin yes small intestine lumen	tylosin Bact small intestine	tylosin Bact small intestine lumen
RY01_SIsw	Bact-1	Bact-1	sample	tylosin	RY01		yes	Bact		small intestine	epithelium	small intestine epithelium	RY01 small intestine epithelium	yes small intestine epithelium	tylosin small intestine	tylosin small intestine epithelium	tylosin yes small intestine epithelium	tylosin Bact small intestine	tylosin Bact small intestine epithelium
RY02_Sisw	Fuso	Fuso	sample	tylosin	RY02		yes	Fuso		small intestine	epithelium	small intestine epithelium	RY02 small intestine epithelium	yes small intestine epithelium	tylosin small intestine	tylosin small intestine epithelium	tylosin yes small intestine epithelium	tylosin Fuso small intestine	tylosin Fuso small intestine epithelium
RY03_SIfl	Bact-1	Bact-1	sample	tylosin	RY03		yes	Bact		small intestine	lumen	small intestine lumen	RY03 small intestine lumen	yes small intestine lumen	tylosin small intestine	tylosin small intestine lumen	tylosin yes small intestine lumen	tylosin Bact small intestine	tylosin Bact small intestine lumen
RY03_SIsw	Bact-1	Bact-1	sample	tylosin	RY03		yes	Bact		small intestine	epithelium	small intestine epithelium	RY03 small intestine epithelium	yes small intestine epithelium	tylosin small intestine	tylosin small intestine epithelium	tylosin yes small intestine epithelium	tylosin Bact small intestine	tylosin Bact small intestine epithelium
RY04_SIfl	Bact-2	Bact-2	sample	tylosin	RY04		yes	Bact		small intestine	lumen	small intestine lumen	RY04 small intestine lumen	yes small intestine lumen	tylosin small intestine	tylosin small intestine lumen	tylosin yes small intestine lumen	tylosin Bact small intestine	tylosin Bact small intestine lumen
RY04_SIsw	Bact-2	Bact-2	sample	tylosin	RY04		yes	Bact		small intestine	epithelium	small intestine epithelium	RY04 small intestine epithelium	yes small intestine epithelium	tylosin small intestine	tylosin small intestine epithelium	tylosin yes small intestine epithelium	tylosin Bact small intestine	tylosin Bact small intestine epithelium
RY05_SIfl	Fuso	Fuso	sample	tylosin	RY05		yes	Fuso		small intestine	lumen	small intestine lumen	RY05 small intestine lumen	yes small intestine lumen	tylosin small intestine	tylosin small intestine lumen	tylosin yes small intestine lumen	tylosin Fuso small intestine	tylosin Fuso small intestine lumen
RY05_SIsw	Fuso	Fuso	sample	tylosin	RY05		yes	Fuso		small intestine	epithelium	small intestine epithelium	RY05 small intestine epithelium	yes small intestine epithelium	tylosin small intestine	tylosin small intestine epithelium	tylosin yes small intestine epithelium	tylosin Fuso small intestine	tylosin Fuso small intestine epithelium
RY06_SIfl	Fuso	Fuso	sample	tylosin	RY06		yes	Fuso		small intestine	lumen	small intestine lumen	RY06 small intestine lumen	yes small intestine lumen	tylosin small intestine	tylosin small intestine lumen	tylosin yes small intestine lumen	tylosin Fuso small intestine	tylosin Fuso small intestine lumen
RY06_SIsw	Fuso	Fuso	sample	tylosin	RY06		yes	Fuso		small intestine	epithelium	small intestine epithelium	RY06 small intestine epithelium	yes small intestine epithelium	tylosin small intestine	tylosin small intestine epithelium	tylosin yes small intestine epithelium	tylosin Fuso small intestine	tylosin Fuso small intestine epithelium
RY07_SIfl	Fuso	Fuso	sample	tylosin	RY07		yes	Fuso		small intestine	lumen	small intestine lumen	RY07 small intestine lumen	yes small intestine lumen	tylosin small intestine	tylosin small intestine lumen	tylosin yes small intestine lumen	tylosin Fuso small intestine	tylosin Fuso small intestine lumen
RY07_SIsw	Fuso	Fuso	sample	tylosin	RY07		yes	Fuso		small intestine	epithelium	small intestine epithelium	RY07 small intestine epithelium	yes small intestine epithelium	tylosin small intestine	tylosin small intestine epithelium	tylosin yes small intestine epithelium	tylosin Fuso small intestine	tylosin Fuso small intestine epithelium
RY08_SIfl	Bact-2	Bact-2	sample	tylosin	RY08		yes	Fuso		small intestine	lumen	small intestine lumen	RY08 small intestine lumen	yes small intestine lumen	tylosin small intestine	tylosin small intestine lumen	tylosin yes small intestine lumen	tylosin Fuso small intestine	tylosin Fuso small intestine lumen
RY08_SIsw	Bact-2	Bact-2	sample	tylosin	RY08		yes	Fuso		small intestine	epithelium	small intestine epithelium	RY08 small intestine epithelium	yes small intestine epithelium	tylosin small intestine	tylosin small intestine epithelium	tylosin yes small intestine epithelium	tylosin Fuso small intestine	tylosin Fuso small intestine epithelium
RY09_SIsw	Bact-1	Bact-1	sample	tylosin	RY09		yes	Bact		small intestine	epithelium	small intestine epithelium	RY09 small intestine epithelium	yes small intestine epithelium	tylosin small intestine	tylosin small intestine epithelium	tylosin yes small intestine epithelium	tylosin Bact small intestine	tylosin Bact small intestine epithelium
RY10_Sifl	Bact-1	Bact-1	sample	tylosin	RY10		yes	Bact		small intestine	lumen	small intestine lumen	RY10 small intestine lumen	yes small intestine lumen	tylosin small intestine	tylosin small intestine lumen	tylosin yes small intestine lumen	tylosin Bact small intestine	tylosin Bact small intestine lumen
RY10_SIsw	Bact-1	Bact-1	sample	tylosin	RY10		yes	Bact		small intestine	epithelium	small intestine epithelium	RY10 small intestine epithelium	yes small intestine epithelium	tylosin small intestine	tylosin small intestine epithelium	tylosin yes small intestine epithelium	tylosin Bact small intestine	tylosin Bact small intestine epithelium
LAEB1			extraction blank																
LiflEB6			extraction blank									 	  	  	 	  	   	  	   
LiswEB2			extraction blank									 	  	  	 	  	   	  	   
NTC2_Sisw			NTC									 	  	  	 	  	   	  	   
NTC3_Rusw			NTC									 	  	  	 	  	   	  	   
RuflEB7			extraction blank												 	 	  	  	  
RuswEB4			extraction blank												 	 	  	  	  
SiflEB5			extraction blank									 	  	  	 	  	   	  	   
SiswEB3			extraction blank									 	  	  	 	  	   	  	   
